Produto,Categoria,Sub-categoria,Descricao,flag,Preco-uni,Preco-cento,cardapio-intro,prod-img,status
Bombom de Pistache,Doces finos,Bombons,Recheio macio de pistache com uma casquinha fina e crocante de chocolate,Lançamento ,R$4.80,,Pedido mínimo de 20 unidades por sabor.,bombompistache.jpeg,ativo
Bombom Nuts,Doces finos,Bombons,Um mix de oleaginosas coberto de chocolate branco,Lançamento ,"R$3,80",,Pedido mínimo de 20 unidades por sabor.,bombomnuts.jpeg,ativo
Caixinha de Doce de Leite com Brulé,Doces Finos,Copinhos e Cestinhas,"Caixinha de chocolate branco nobre, recheado de doce de leite e nosso icônico brigadeiro de creme brulé.",,R$4.20,,Pedido mínimo de 20 unidades por sabor.,caixinhadocedeleitebrule.jpeg,ativo
Copinho de Avelã,Doces Finos,Copinhos e Cestinhas,"Copinho de chocolate ao leite, recheado de ganache de nutella, finalizado com praliné de avelã.",Mais pedido,R$3.50,,Pedido mínimo de 20 unidades por sabor.,copinhoavela.png,ativo
Caixinha de Frutas Vermelhas,Doces Finos,Copinhos e Cestinhas,"Caixinha de chocolate ao leite, recheada com ganache de frutas vermelhas, finalizada com frutas frescas. *pode variar de acordo com as frutas da estação",Mais pedido,R$5.90,,Pedido mínimo de 20 unidades por sabor.,caixinhafrutasvermelhas.jpeg,ativo
Copinho de Phisalys,Doces Finos,Copinhos e Cestinhas,"Copinho de chocolate meio amargo, recheado com ganache de laranja, finalizado com Physalis.",,R$4.90,,Pedido mínimo de 20 unidades por sabor.,copinhophysalis.png,ativo
Copinho de Cereja,Doces Finos,Copinhos e Cestinhas,"Copinho de chocolate meio amargo, recheado com ganache de chocolate blend finalizado com cereja.",,R$4.20,,Pedido mínimo de 20 unidades por sabor.,copinhocereja.jpeg,ativo
Copinho de Chocolate com Maracuja,Doces Finos,Copinhos e Cestinhas,"Copinho de chocolate, recheado com ganache de maracujá, finalizado com nossa geleia artesanal.",,R$4.00,,Pedido mínimo de 20 unidades por sabor.,copinhomaracuja.jpeg,ativo
Caixinha de Morango,Doces finos,Copinhos e Cestinhas,"Caixinha de chocolate nobre, recheada de um brigadeiro cremoso de chocolate finalizado com morango fresco.",Lançamento ,"3,90",,Pedido mínimo de 20 unidades por sabor.,caixinhamorango.jpeg,ativo
Delícia de Limão,Doces Finos,Doces Finos,Nosso delicioso brigadeiro de limão finalizado com uma merengue divina!,,R$2.95,,Pedido mínimo de 20 unidades por sabor.,delicialimao.jpeg,ativo
Cestinha de Nozes,Doces Finos,Doces Finos,"Brigadeiro de nozes envolto em nozes mariposa frescas, finalizado com açúcar cristal. Detalhe com fita de cetim.",,R$4.50,,Pedido mínimo de 20 unidades por sabor.,cestinhanozes.jpeg,ativo
Camafeu de Nozes,Doces Finos,Doces Finos,"Brigadeiro especial de nozes, coberto com fondant, finalizado com nozes frescas.",Mais Pedido,R$3.90,,Pedido mínimo de 20 unidades por sabor.,camafeonozes.jpeg,ativo
"Docinho ""Hostea""",Doces Finos,Doces Finos,"Brigadeiro cremoso de ninho, com duas bases de chocolate branco e coração de chocolate ao leite.",,R$4.50,,Pedido mínimo de 20 unidades por sabor.,hostea.jpeg,inativo
Trouxinha de Nozes com creme de ovos,Doces Finos,Doces Finos,"Trouxinha de massa de nozes recheada com um delicioso creme de ovos, finalizado com nozes.",,R$3.90,,Pedido mínimo de 20 unidades por sabor.,trouxinhanozescremeovos.jpeg,ativo
Damasco Recheado,Doces Finos,Doces Finos,"Damasco seco, recheado com brigadeiro de coco, finalizado com coco úmido.",,R$3.50,,Pedido mínimo de 20 unidades por sabor.,damascorecheado.jpeg,ativo
Trouxinha de Abacaxi com Côco,Doces Finos,Doces Finos,"Trouxinha de massa filo, recheada com doce de abacaxi e cocada cremosa",,R$5.00,,Pedido mínimo de 20 unidades por sabor.,trouxinhaabacaxicomcoco.jpeg,ativo
Trufa de Limão Siciliano,Doces Finos,Doces Finos,Trufa de limão siciliano com uma casquinha perfeita de chocolate branco.,,R$4.90,,Pedido mínimo de 20 unidades por sabor.,trufalimaosiciliano.jpeg,ativo
Gotinha de Ninho com Nutella,Doces Finos,Doces Finos,"Copinho de chocolate branco nobre recheado de pura Nutella, com nosso delicioso brigadeiro de leite ninho.",,"4,90",,Pedido mínimo de 20 unidades por sabor.,gotinhaninhonutella.JPG,ativo
Pirâmide de Nutella,Doces Finos,Doces Finos,"Pirâmide feita de chocolate ao leite, recheada de pura nutella.",,R$4.20,,Pedido mínimo de 20 unidades por sabor.,piramide.jpeg,ativo
Brigadeiro de Doce de Leite com Amêndoas Caramelizadas,Doces Finos,Doces Finos,"O mais fino dos clássicos brigadeiros da Tata, ideal para festas e celebrações.",,R$3.90,,Pedido mínimo de 20 unidades por sabor.,brigadeirocodeamendoa.jpeg,ativo
Verrine,Doces Finos,Doces Finos,"Mini-vidro de aproximadamente 4cm, recheado do doce em sua forma mais cremosa. Sabores: Damasco, Cereja, Ninho com Nutella, Pistache, e mais.",,R$5.00 à R$6.20 dependendo do sabor escolhido,,Pedido mínimo de 20 unidades por sabor.,verrine.jpeg,ativo
Mini Tartellete,Doces finos,Doces finos,"Uma massinha leve e crocante que derrete na boca recheada do seu sabor preferido. Chocolate, limão siciliano ou doce de leite ou frutas vermelhas.",Lançamento ,"R$ 3,60 à R$4.00 dependendo do sabor escolhido",,Pedido mínimo de 20 unidades por sabor.,minitartellete.jpeg,ativo
Mini pavlova,Doces finos,Doces finos,"Uma cestinha de suspiro linda, recheada com nosso brigadeiro de limão siciliano, finalizada com morango e mirtilo.",Lançamento ,R$4.00,,Pedido mínimo de 20 unidades por sabor.,minipavlova.jpeg,ativo
Bowl de cookies,Doces finos,Doces finos,Brigadeiro trufado envolto de uma casquinha deliciosa de chocolate branco com pedacinhos de biscoito oreo.,Em breve,-,,Pedido mínimo de 20 unidades por sabor.,-,inativo
Barrinha de ouro (Crocante de nutella),Doces finos,Doces finos,Bombom de chocolate ao leite recheada de Nutella e pedacinhos sutis de massa folhada crocante. Uma verdadeira jóia!,Em breve,-,,Pedido mínimo de 20 unidades por sabor.,-,inativo
Bombom de Nozes,Doces finos ,Bombons,Nosso incrível Brigadeiro de nozes finalizado com uma casquinha de chocolate nobre ao leite.,Lançamento ,R$3.90,,Pedido mínimo de 20 unidades por sabor.,bombomnozes.jpeg,ativo
Morango Cristal,Doces finos ,Doces finos,Morango fresco envolto em massa branquinha finalizado no açúcar cristal.,Lançamento ,R$4.10,,Pedido mínimo de 20 unidades por sabor.,morangocristal.JPG,ativo
Brownie com Brigadeiro,Variados,Variados,A combinacao perfeita do brownie artesanal com o brigadeiro classico da Tata.,,R$3.20,,Pedido mínimo de 20 unidades por sabor. Todos vão acompanhados de forminhas sanfonadas comum. Forminhas 4 pétalas serão cobradas à parte,browniecombrigadeiro.jpeg,ativo
Brigadeiros de Colher,Variados,Variados,"Os classicos brigadeiros da Tata servidos em copinhos individuais, perfeitos para mesas de doces.",,"R$2.60 à R$3,95 dependendo do sabor escolhido",,Pedido mínimo de 20 unidades por sabor. Todos vão acompanhados de forminhas sanfonadas comum. Forminhas 4 pétalas serão cobradas à parte,brigdecolher.jpeg,ativo
Bombom Volcano,Doces finos,Doces finos,,Em breve,,,,-,inativo
Moscou Mule,Doces finos,Doces finos,,Em breve,,,,-,inativo
